"Event_EventId","Event_Version","Event_Creator","Event_Active","Event_AdapterSource","Event_AdapterFlag","Event_PartitionNumber","Event_PurgeState","Event_TimeCreated","Event_TimeUpdated","Event_ItemTitle","Event_ItemDescription","Event_ItemId","Event_SourceSystem","Event_VersionNumber","Event_RoundNumber","Event_IsLastVersion","Event_OwnRankingInfoRelease","Event_SupplierNamesInfoRelease","Event_CompetitorRankInfoRelease","Event_ParticipantSpecificValuesInfoRelease","Event_OwnerSeeBids","Event_AllowSeeWeight","Event_ExchangeRateInfoRelease","Event_ProjectId","Event_AclId","Event_EventTitle","Event_EventDescription","Event_LargeContents","Event_ItemType","Event_ItemSubType","Event_EventType","Event_EventStatus","Event_LotStatus","Event_EventTemplateName","Event_EventTemplateId","Event_TestEvent","Event_EventCurrency","Event_LeadBidInfoRelease","Event_CompetitorBidsInfoRelease","Event_StartGateInfoRelease","Event_ImprovementType","Event_TieBidRule","Event_AllowScoring","Event_AllowBonusMalus","Event_AllowAdvancedPricingConditions","Event_PricingConditionValidityPeriodType","Event_ValidityPeriodDuration","Event_AllowPeriodQuantityForEvent","Event_AllowSupplierToViewPeriodQuantity","Event_AllowSupplierScales","Event_MaxVolumeThreshold","Event_VolumeScaleEnabled","Event_ValidityPeriodStartDate","Event_ValidityPeriodEndDate","Event_AllowMultiCurrency","Event_AllowAlternativeBidding","Event_EventFormat"
"Doc6738005","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Computer CPU","","786404","ASM","1","0","true","2","2","false","false","true","true","false","WS6737997","12","MassEvent - Reverse Auction #170","","false","","0","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6757410","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Projector Setups","","787630","ASM","1","0","true","2","2","false","false","true","true","false","WS6757402","12","MassEvent - Reverse Auction #223","","false","","17","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6757089","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Printing Supplies","","787334","ASM","1","0","true","2","2","false","false","true","true","false","WS6757081","12","MassEvent - Reverse Auction #210","","false","","16","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6756081","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Flatpanel Monitor (19 inch)","","786778","ASM","1","0","true","2","2","false","false","true","true","false","WS6756073","12","MassEvent - Reverse Auction #186","","false","","0","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6756417","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Printing Supplies","","786966","ASM","1","0","true","2","2","false","false","true","true","false","WS6756409","12","MassEvent - Reverse Auction #194","","false","","16","4","6","6","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6758418","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Printing Supplies","","788185","ASM","1","0","true","2","2","false","false","true","true","false","WS6758410","12","MassEvent - Reverse Auction #247","","false","","16","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6755494","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Computer CPU","","786523","ASM","1","0","true","2","2","false","false","true","true","false","WS6755486","12","MassEvent - Reverse Auction #175","","false","","0","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6756804","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Flatpanel Monitor (19 inch)","","787215","ASM","1","0","true","2","2","false","false","true","true","false","WS6756796","12","MassEvent - Reverse Auction #205","","false","","0","4","6","6","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6758735","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Computer CPU","","788202","ASM","1","0","true","2","2","false","false","true","true","false","WS6758727","12","MassEvent - Reverse Auction #248","","false","","0","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
"Doc6757627","2","","true","","0","460","0","12/5/2022 8:05 AM","12/5/2022 8:05 AM","Computer CPU","","787650","ASM","1","0","true","2","2","false","false","true","true","false","WS6757419","12","MassEvent - Reverse Auction #224","","false","","0","4","7","13","Reverse Auction","PI384538","false","US Dollar","0","2","0","2","0","false","false","false","-2147483648","-2147483648","false","false","false","-2147483648","false","1/1/1970 12:00 AM","1/1/1970 12:00 AM","false","0","0"
